_corrupt_record,content_duration,course_id,course_title,is_paid,level,num_lectures,num_reviews,num_subscribers,price,published_timestamp,subject,url
,1.0,621014,System of Asset Management for Professionals (SAMP),True,Expert Level,8.0,1,8,50.0,2015-09-25T21:59:24Z,Business Finance,https://www.udemy.com/professional_asset_management_system/
,2.0,673750,How to invest in Forex Trading & add an additional income,True,All Levels,14.0,2,8,50.0,2015-11-21T20:47:58Z,Business Finance,https://www.udemy.com/forex-truth-fundamentals-and-understanding/
,3.0,390510,Tax made simple for Limited Company Owners and Contractors,True,All Levels,57.0,0,11,50.0,2015-02-18T11:50:46Z,Business Finance,https://www.udemy.com/tax-made-simple-for-limited-company-owners-and-contractors/
,0.6166666666666667,282044,Introduction to the 8 Pillars for Accountants,True,Beginner Level,33.0,0,18,20.0,2014-08-16T17:37:15Z,Business Finance,https://www.udemy.com/8-pillars-for-accountants-introduction/
,1.5,118836,FX Trading for Beginners,True,All Levels,22.0,0,16,20.0,2013-12-01T04:10:23Z,Business Finance,https://www.udemy.com/fx-trading-for-beginners/
,2.5,849632,Write a Successful Business Grant Proposal,True,Beginner Level,23.0,0,6,20.0,2016-07-10T17:11:15Z,Business Finance,https://www.udemy.com/write-a-successful-business-grant-proposal/
,1.0,904240,A Guide To Trade Binary Options Like An Expert,True,All Levels,21.0,0,4,55.0,2016-07-18T21:48:10Z,Business Finance,https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/
,3.0,1165780,Ratio analysis for bankers and credit analysts,True,Beginner Level,13.0,0,1,20.0,2017-04-12T16:55:26Z,Business Finance,https://www.udemy.com/ratio-analysis-for-bankers-and-credit-analysts/
,1.5,304424,Numbers for the  Business Plan,True,All Levels,12.0,1,210,20.0,2014-09-22T05:12:53Z,Business Finance,https://www.udemy.com/numbers-for-the-business-plan/
,1.0,1246684,Dash Crypto Currency Technical and Trading Overview Bootcamp,True,All Levels,14.0,1,4,20.0,2017-06-19T21:59:42Z,Business Finance,https://www.udemy.com/introduction-to-dash-crypto-currency-technical-overview/
,0.5166666666666666,591880,1 - Concepts of Statistics For Beginners Step by Step,True,Beginner Level,15.0,4,273,200.0,2015-08-30T22:48:34Z,Business Finance,https://www.udemy.com/concepts-of-statistics/
,1.5,155616,4. Ordinary Simple Annuities: The Basics,True,All Levels,17.0,1,237,20.0,2014-01-31T22:27:11Z,Business Finance,https://www.udemy.com/ordinary-simple-annuities-the-basics/
,20.5,1185936,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,False,All Levels,69.0,3,368,0.0,2017-04-25T15:02:33Z,Business Finance,https://www.udemy.com/arabic-forex-education-by-pforex/
,47.0,65802,Financial Risk Manager (FRM) Certification: Level II,True,All Levels,87.0,7,86,50.0,2013-07-24T03:18:38Z,Business Finance,https://www.udemy.com/financial-risk-manager-frm-certification-level-ii/
,3.0,229360,Level 1 2014 CFA® Program – Corporate Finance,True,All Levels,18.0,1,204,40.0,2014-06-21T05:43:33Z,Business Finance,https://www.udemy.com/level-1-2014-cfa-program-corporate-finance/
,2.0,159388,3. Compound Interest ,True,All Levels,21.0,2,570,20.0,2014-02-11T18:06:18Z,Business Finance,https://www.udemy.com/compound-interest/
,1.0,172298,8. Amortization Schedules,True,All Levels,5.0,1,225,20.0,2014-03-19T18:30:55Z,Business Finance,https://www.udemy.com/amortization-schedules/
,1.0,570996,Finance Fundamentals for Non Finance Leaders,True,All Levels,15.0,7,37,20.0,2015-08-04T21:56:58Z,Business Finance,https://www.udemy.com/finance-fundamentals-for-business-leaders/
,4.0,944594,Strategy layout and Backtesting,True,Expert Level,24.0,2,36,200.0,2016-09-21T19:36:22Z,Business Finance,https://www.udemy.com/strategy-layout-and-backtesting/
,14.5,81064,Easy Forex and Futures Trading,True,All Levels,66.0,5,218,100.0,2013-12-31T01:22:44Z,Business Finance,https://www.udemy.com/easy-forex-and-futures-trading/
,1.5,364034,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,True,Beginner Level,13.0,18,50,20.0,2014-12-16T03:10:02Z,Business Finance,https://www.udemy.com/finanzas-y-analisis-financiero-manejo-seguro-de-negocios/
,1.5,119276,Aprende a hacer paper trading (simulación) con Ninja Trader,True,Beginner Level,15.0,3,148,25.0,2013-11-15T17:53:03Z,Business Finance,https://www.udemy.com/aprende-a-hacer-paper-trading-simulacion-con-ninja-trader/
,3.5,753610,Trading mit kleinen Konten - Grundlagen die du kennen musst,True,Beginner Level,20.0,4,74,80.0,2017-03-29T00:06:21Z,Business Finance,https://www.udemy.com/werden-sie-privater-trader-im-forex-cfd-oder-rohstoffmarkt/
,1.5,616564,entiende la contabilidad y consigue un aumento de salario,True,Beginner Level,17.0,18,260,20.0,2015-09-23T15:25:09Z,Business Finance,https://www.udemy.com/fundamentos_de_contabilidad_foli/
