course_title,num_lectures
Fundraise the Simplified Way: A Crowdfunding Blueprint,19.0
Fundamentals of Accounting for Business Owners,47.0
Practical Financial Statement Analysis,45.0
Forex Management - Detailed Study for CA / CS / CFA Exams,38.0
Professional Risk Manager (PRM) Certification: Level 1,51.0
International Tax  - Tax Beyond boundaries,235.0
The Complete Financial Statement Analysis Course,37.0
Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),31.0
Candlestick Analysis For Professional Traders,48.0
Build A Career In Forex Trading- Learn Fundamental Analysis,52.0
Financial Modeling: Build a Complete DCF Valuation Model,44.0
CAIIB Advanced Bank Management (Part I),211.0
Stock Market investment:Non financial fundamental analysis,29.0
Learn How to Play CashFlow Game,26.0
Basics of Business Finance,24.0
Accounting Made Easy 2,40.0
"Bitcoin: el futuro del dinero, hoy",19.0
Aprende a invertir practicando,42.0
Mit Finanzwissen zu besserem Unternehmertum,23.0
المحاسبة للإداريين و غير المحاسبين,17.0
株式投資で本当のファンダメンタル分析ができるようになる,30.0
Curso de Trading práctico basado en casos reales,55.0
Curso Avanzado de Trading,100.0
สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,25.0
Análise de Concessão de Crédito,20.0
Technical Analysis Using Elliott Wave Theory,16.0
Crash Course on Cost of Capital and Capital Structuring,19.0
Business Accounting Made Easy,26.0
Mastering Technical Analysis : Maximizing Trading Profits,62.0
The Complete Guide to Professional Trading with Elliott Wave,43.0
Stock Market for Beginners - Complete Starter Toolkit,82.0
Technical Analysis 101: Secrets of Trading Revealed,81.0
Forex: What's a Trend and When it is Strong and Reliable,30.0
Volatility Trading Analysis with R,45.0
Awaken the Accountant in You | Master the Accounting Basics,16.0
Situational Trading: Proven Option Strategy for any Scenario,16.0
Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),21.0
Bookkeeping Made Easy,18.0
BITCOIN VISUALLY. Part I.,31.0
Learn and Master the Basics of Finance,39.0
FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,27.0
Mastering the Market : (Technical Analysis + Candlestick),97.0
Exam 1 Review - Managerial Accounting (U of H),22.0
* An Integrated Approach to the Fundamentals of Accounting,123.0
Financial Model Fundamentals-Learn the Essential Skills,27.0
Analyze Real Estate Investments | Financial Modeling,21.0
Forex For Beginners - A Guide To Currency Trading,23.0
Raise Your Credit Score to 800 Or More....,40.0
Working Capital Management for CA / CFA / CPA Exams,33.0
Risk Analysis - Capital Budgeting for CA / CS / CFA exams,47.0
Corporate Finance 101: Financial Statement Analysis & Ratios,43.0
Mastering Futures Options for Beginners - Your Top 5 Plays!,33.0
"Professional Options Trading, Simplified",21.0
Accounting Basics - A Complete Study,332.0
Case Studies in Macro Economics,22.0
Understand Banks & Financial Markets ,34.0
Stock Technical Analysis with Python,46.0
How to invest in Gold,39.0
Automate Your Finances,21.0
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),272.0
Accounting Made Easy: A Quick Guide to Financial Accounting,18.0
Cost Accounting Marginal Costing Theory and Practice,31.0
The Big Volatility Short: The Best Trade On Wall Street!,16.0
Master Finance in Three Hours,29.0
Option selling trading as income source. Beginners friendly,61.0
Become A Forex Trader - Forex trading like a professional,19.0
Bulletproof Personal Finance: Expert Asset Allocation,18.0
Financial Accounting: The Complete Introductory Crash Course,69.0
How to Build a Massive Stock Portfolio from Zero!,129.0
Accounting and Finance for Bankers - A Comprehensive Study,316.0
Forex Prep Academy for Beginners-Real trades!,44.0
TRADING TRUTHS,27.0
Forex Trading vs Option Trading,29.0
How to Invest in Stocks + Billionaire Investing Tips,19.0
Value Investing For Beginners,25.0
TRADING TACTICS,62.0
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,23.0
Ultimate Retirement: Build Your Own Dynamic Retirement Plan,37.0
Forex Scam: Avoid the scam today,28.0
Cost Accounting Crash Course,17.0
Option Trading for Rookies: Basic Option Strategies,61.0
Learn to Raise the Funds You Need via Crowdfunding,70.0
Business finances,20.0
Financial Accounting - A Brief Introduction,17.0
Trading Economic Indicators - Complete Trading System,25.0
Option Trading - How To Earn If You Can't Predict The Market,30.0
The Financial Analyst Skills Training (FAST) course 2017,138.0
[Value Investing] Where White People Keep Their Money,20.0
Basics of Commerce A Complete Study,105.0
The Passive Investing Blueprint - Build Wealth Passively,66.0
7 Steps: Your Introduction to Trading,176.0
Forex - Elliott Wave Theory with Fibonacci. ,32.0
QuickBooks Online: Complete Guide & Certification tips,91.0
Build Financial Models & Value Companies The Easy Way,18.0
Chart Patterns Trading Demystified,29.0
Financial Planning & Analysis: Building a Company's Budget,27.0
Forex Trading: Comprehensive & Concise Forex Trading Course,44.0
Leaps Options Trading System - Diagonal Leaps Options Spread,16.0
Finance - Ratios Analysis & Interpretations,41.0
Forex Trading -  Learn to Trade From Scratch!,37.0
Quantitative Trading Analysis with R,53.0
Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),48.0
Get Started With Penny Stocks -Step by Step Guide to Trading,18.0
CPA 101: How To Master Affiliate Marketing In No Time,21.0
Professional Risk Manager (PRM) Certification: Level 2,55.0
Practical Trading on Financial Futures & Options Markets,25.0
Bookkeeping made simple,19.0
ChalkTalk: Financial Accounting,108.0
The Investment Banking Recruitment Series,26.0
Asset Protection Using Offshore Companies,21.0
Financial Translation,29.0
How to Pick Stocks,28.0
Accounting 101-Master Class for Understanding Business,43.0
High-Frequency Trading & Dark Pools,22.0
How To Crowdfund,17.0
Financial Statement Fundamentals for Small Biz & Investors,61.0
Master The Stock Market with practice,42.0
Forex Trading For Beginners: Technical Trading,16.0
IAS 12 - Accounting for Income Taxes (Basics),17.0
Simple Linear Regression Analysis ( A Complete Course ),29.0
Forex: Learn to Trade Forex and FX Consistently,21.0
Trading: High-ROI Trading,47.0
Professional Bookkeeping & Accounting 2 - Bank Daybook,36.0
"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",26.0
Learn to Trade Forex - from Beginner to Professional,64.0
"Investing In Stocks For Big Gains, Fundamental Investing",21.0
Introduction to Equity Markets,31.0
Beginners Guide To Ichimoku Trading,17.0
Financial Management - Ratio Analysis,72.0
